Qty, Value, Device, Package, Parts, Description, ALLIED_NUMBER, ALLIED_PRICE-STOCK, ARROW_PART_NUMBER, ARROW_PRICE-STOCK, AVAILABILITY, CUI_PURCHASE_URL, DESCRIPTION, DIGIKEY-PURCHASE-URL, HEIGHT, MANUFACTURER, MANUFACTURER_NAME, MANUFACTURER_PART_NUMBER, MF, MOUSER-PURCHASE-URL, MOUSER_PART_NUMBER, MOUSER_PRICE-STOCK, MP, PACKAGE, PARTREV, PRICE, RS_PART_NUMBER, RS_PRICE-STOCK, SPICEPREFIX, STANDARD
3, , LEDCHIPLED_0805, CHIPLED_0805, CHRG /  RDY /  STAT, LED, , , , , , , , , , , , , , , , , , , , , , , , 
12, 0.1uF, C-EUC0603K, C0603K, C1 /  C2 /  C3 /  C37, CAPACITOR /  European symbol, , , , , , , , , , , , , , , , , , , , , , , C, 
1, 0.47uF, C-EUC0603K, C0603K, C5, CAPACITOR /  European symbol, , , , , , , , , , , , , , , , , , , , , , , C, 
6, 10k, R-EU_R0603, R0603, R6 /  R7 /  R8 /  R9 /  R12 /  R36, RESISTOR /  European symbol, , , , , , , , , , , , , , , , , , , , , , , R, 
2, 15pF, C-EUC0603K, C0603K, C16 /  C17, CAPACITOR /  European symbol, , , , , , , , , , , , , , , , , , , , , , , C, 
2, 1k, R-EU_R0603, R0603, R43 /  R45, RESISTOR /  European symbol, , , , , , , , , , , , , , , , , , , , , , , R, 
2, 1uF, C-EUC0603K, C0603K, C14 /  C15, CAPACITOR /  European symbol, , , , , , , , , , , , , , , , , , , , , , , C, 
3, 2.2uF, C-EUC0603K, C0603K, C4 /  C11 /  C12, CAPACITOR /  European symbol, , , , , , , , , , , , , , , , , , , , , , , C, 
1, 2201778-1, 2201778-1, TE_2201778-1, J1, MICRO SD PUSH PUSH LOW PROFILE TYPE, , , , , , , , , , TE Connectivity, , , , , , , , , B, , , , , Manufacturer recommendations
1, 2k, R-EU_R0603, R0603, R10, RESISTOR /  European symbol, , , , , , , , , , , , , , , , , , , , , , , R, 
1, 2k2, R-EU_R0603, R0603, R11, RESISTOR /  European symbol, , , , , , , , , , , , , , , , , , , , , , , R, 
1, 330uF, T491C106K035AT, CAPPM6032X280N, C13, KEMET 10uF 35V dc Tantalum Capacitor MnO2 Solid +/-10% Tolerance T491 Series, 70610893, https://www.alliedelec.com/kemet-t491c106k035at/70610893/, , , , , KEMET 10uF 35V dc Tantalum Capacitor MnO2 Solid +/-10% Tolerance T491 Series, , 2.8mm, , Kemet, T491C106K035AT, , , 80-T491C106K035, https://www.mouser.com/Search/Refine.aspx?Keyword=80-T491C106K035, , , , , 8015520, https://uk.rs-online.com/web/p/products/8015520, , 
